PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,Hour,Day,Month,Year
0.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,0.04564399678687048,0,15,5,2020
0.0,1IF53ai7Xc0U56Y,0.0,0.0,0.0,0.0,0,15,5,2020
0.0,3PZuoBAID5Wc2HD,0.0,0.0,0.0,0.48348100261187055,0,15,5,2020
0.0,7JYdWkrLSPkdwr4,0.0,0.0,0.0,0.8533763113464841,0,15,5,2020
0.0,McdE0feGgRqW7Ca,0.0,0.0,0.0,0.5864195972043853,0,15,5,2020
0.0,VHMLBKoKgIrUVDU,0.0,0.0,0.0,0.6149457423628051,0,15,5,2020
0.0,WRmjgnKYAwPKWDb,0.0,0.0,0.0,0.508080924688668,0,15,5,2020
0.0,ZnxXDlPa8U1GXgE,0.0,0.0,0.0,0.20354249941076574,0,15,5,2020
0.0,ZoEaEvLYb1n2sOq,0.0,0.0,0.0,0.5498239512835688,0,15,5,2020
0.0,adLQvlD726eNBSB,0.0,0.0,0.0,0.052736451223442504,0,15,5,2020
0.0,bvBOhCH3iADSZry,0.0,0.0,0.0,0.08006248286411077,0,15,5,2020
0.0,iCRJl6heRkivqQ3,0.0,0.0,0.0,0.597860358735335,0,15,5,2020
0.0,ih0vzX44oOqAx2f,0.0,0.0,0.0,0.0009253380279656831,0,15,5,2020
0.0,pkci93gMrogZuBj,0.0,0.0,0.0,0.5925151637589772,0,15,5,2020
0.0,rGa61gmuvPhdLxV,0.0,0.0,0.0,0.5578772180454741,0,15,5,2020
0.0,sjndEbLyjtCKgGv,0.0,0.0,0.0,0.5009614135846117,0,15,5,2020
0.0,uHbuxQJl8lW7ozc,0.0,0.0,0.0,0.514098327537194,0,15,5,2020
0.0,wCURE6d3bPkepu2,0.0,0.0,0.0,0.36012604799492065,0,15,5,2020
0.0,z9Y9gH1T5YWrNuG,0.0,0.0,0.0,0.49557052290316816,0,15,5,2020
0.0,zBIq5rxdHJRwDNY,0.0,0.0,0.0,0.0936371135706624,0,15,5,2020
0.0,zVJPv84UY57bAof,0.0,0.0,0.0,0.5606778837597468,0,15,5,2020
0.0,1BY6WEcLGh8j5v7,0.0,0.0,0.0,0.04564399678687048,0,15,5,2020
0.0,1IF53ai7Xc0U56Y,0.0,0.0,0.0,0.0,0,15,5,2020
0.0,3PZuoBAID5Wc2HD,0.0,0.0,0.0,0.48348100261187055,0,15,5,2020
0.0,7JYdWkrLSPkdwr4,0.0,0.0,0.0,0.8533763113464841,0,15,5,2020
0.0,McdE0feGgRqW7Ca,0.0,0.0,0.0,0.5864195972043853,0,15,5,2020
0.0,VHMLBKoKgIrUVDU,0.0,0.0,0.0,0.6149457423628051,0,15,5,2020
0.0,WRmjgnKYAwPKWDb,0.0,0.0,0.0,0.508080924688668,0,15,5,2020
0.0,ZnxXDlPa8U1GXgE,0.0,0.0,0.0,0.20354249941076574,0,15,5,2020
0.0,ZoEaEvLYb1n2sOq,0.0,0.0,0.0,0.5498239512835688,0,15,5,2020
